tweetid	tweet	tokens	langid	sentiment
1207	@ugmaster jajajajaja, sorry, eso me dijo mi esposo jajaja, voy a pensar bien mi concepto de fácil :) que bueno q los estas estudiando :)	['@ugmaster', 'jajajajaja', ',', 'sorry', ',', 'eso', 'me', 'dijo', 'mi', 'esposo', 'jajaja', ',', 'voy', 'a', 'pensar', 'bien', 'mi', 'concepto', 'de', 'fácil', ':)', 'que', 'bueno', 'q', 'los', 'estas', 'estudiando', ':)']	['other', 'lang2', 'other', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	positive
1208	Y Me Vale Vergaaaa si les cala!!! Cause I know most of you used to love It & dance it at some point haha Asi K Se Chingaron jajaja	['Y', 'Me', 'Vale', 'Vergaaaa', 'si', 'les', 'cala', '!!!', 'Cause', 'I', 'know', 'most', 'of', 'you', 'used', 'to', 'love', 'It', '&', 'dance', 'it', 'at', 'some', 'point', 'haha', 'Asi', 'K', 'Se', 'Chingaron', 'jajaja']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1']	positive
1209	@Yaritzaa__ lol enserio I always insist on drive ☺	['@Yaritzaa__', 'lol', 'enserio', 'I', 'always', 'insist', 'on', 'drive', '☺']	['other', 'lang1', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1210	@crystal_jaimes lmao nadie  #Foreveralone	['@crystal_jaimes', 'lmao', 'nadie', '#Foreveralone']	['other', 'lang1', 'lang2', 'lang1']	negative
1211	Daw quien rompio la net	['Daw', 'quien', 'rompio', 'la', 'net']	['ne', 'lang2', 'lang2', 'lang2', 'lang1']	negative
1212	@josalequi para q te corrija, es gratis, incluido con los audiobooks, espera MUY pronto un video donde lo explico :)	['@josalequi', 'para', 'q', 'te', 'corrija', ',', 'es', 'gratis', ',', 'incluido', 'con', 'los', 'audiobooks', ',', 'espera', 'MUY', 'pronto', 'un', 'video', 'donde', 'lo', 'explico', ':)']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	positive
1213	@Loco_Saucedo la first one?	['@Loco_Saucedo', 'la', 'first', 'one', '?']	['other', 'lang2', 'lang1', 'lang1', 'other']	neutral
1214	Jealous: También significa envidioso. You got tickets to Vegas? I’m so jealous!	['Jealous', ':', 'También', 'significa', 'envidioso', '.', 'You', 'got', 'tickets', 'to', 'Vegas', '?', 'I', '’m', 'so', 'jealous', '!']	['lang1', 'other', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'ne', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	negative
1215	@Milyl15 what college do you want to attend ? Ima transfer to calstate la lol	['@Milyl15', 'what', 'college', 'do', 'you', 'want', 'to', 'attend', '?', 'Ima', 'transfer', 'to', 'calstate', 'la', 'lol']	['other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'ne', 'lang2', 'lang1']	positive
1216	Head to toe: De pies a cabeza You look great from head to toe!	['Head', 'to', 'toe', ':', 'De', 'pies', 'a', 'cabeza', 'You', 'look', 'great', 'from', 'head', 'to', 'toe', '!']	['lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1217	@chivas_madrid95 no era offsides :'(	"['@chivas_madrid95', 'no', 'era', 'offsides', "":'(""]"	['other', 'lang2', 'lang2', 'lang1', 'other']	negative
1218	@ToCoolRebecca Lol En Este Frio Kres Que Te Voy A Ir A Ver 😂 Lol Mejor Dile Al Novio xD & Ah Okay Ya Dijistes 💁 A Donde Te Vas A Mover ?	['@ToCoolRebecca', 'Lol', 'En', 'Este', 'Frio', 'Kres', 'Que', 'Te', 'Voy', 'A', 'Ir', 'A', 'Ver', '😂', 'Lol', 'Mejor', 'Dile', 'Al', 'Novio', 'xD', '&', 'Ah', 'Okay', 'Ya', 'Dijistes', '💁', 'A', 'Donde', 'Te', 'Vas', 'A', 'Mover', '?']	['other', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang1', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	positive
1219	Wimp: Endeble/Debilucho. Come on don’t be a wimp, get in the water!	['Wimp', ':', 'Endeble/Debilucho', '.', 'Come', 'on', 'do', 'n’t', 'be', 'a', 'wimp', ',', 'get', 'in', 'the', 'water', '!']	['ne', 'other', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	neutral
1220	Keeping from: Varias cosas una es Ocultar. He couldn’t stand keeping this kind of information from his wife, so he came clean.	['Keeping', 'from', ':', 'Varias', 'cosas', 'una', 'es', 'Ocultar', '.', 'He', 'could', 'n’t', 'stand', 'keeping', 'this', 'kind', 'of', 'information', 'from', 'his', 'wife', ',', 'so', 'he', 'came', 'clean', '.']	['lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1221	@ramMx_ ty! un abrazo para ti también :) saludos!	['@ramMx_', 'ty', '!', 'un', 'abrazo', 'para', 'ti', 'también', ':)', 'saludos', '!']	['other', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'other']	positive
1222	@Guera_Unica lol siii que sea una gavacha y que ni intende nada de espanol pa andar dicendole mamadas atras de su espalada xD	['@Guera_Unica', 'lol', 'siii', 'que', 'sea', 'una', 'gavacha', 'y', 'que', 'ni', 'intende', 'nada', 'de', 'espanol', 'pa', 'andar', 'dicendole', 'mamadas', 'atras', 'de', 'su', 'espalada', 'xD']	['other', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	negative
1223	She's a Fucken 6th grader & the other an 8th grader /.- like no ! Metete con Una De tu tamaño	"['She', ""'s"", 'a', 'Fucken', '6th', 'grader', '&', 'the', 'other', 'an', '8th', 'grader', '/', '.', '-', 'like', 'no', '!', 'Metete', 'con', 'Una', 'De', 'tu', 'tamaño']"	['lang1', 'lang1', 'lang1', 'ne', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'other', 'other', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2']	negative
1224	Pablo be Bs me	['Pablo', 'be', 'Bs', 'me']	['ne', 'lang1', 'lang2', 'lang1']	positive
1225	@Milyl15 chales yo ni bailo a balasos 💯😂 Jk i like dancing corridos lol	['@Milyl15', 'chales', 'yo', 'ni', 'bailo', 'a', 'balasos', '💯😂', 'Jk', 'i', 'like', 'dancing', 'corridos', 'lol']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'ne', 'lang1', 'lang1', 'lang1', 'lang2', 'lang1']	positive
1226	@crystal_jaimes creo k ya me voy a juntar pero con mis amigos otra ves!!! No m dejas acabar Giiirrll...calm down!! -.-	['@crystal_jaimes', 'creo', 'k', 'ya', 'me', 'voy', 'a', 'juntar', 'pero', 'con', 'mis', 'amigos', 'otra', 'ves', '!!!', 'No', 'm', 'dejas', 'acabar', 'Giiirrll', '...', 'calm', 'down', '!!', '-.-']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang1', 'lang1', 'other', 'other']	positive
1227	What’s the rush?: Cuál es el afán? Take your time, what’s the rush?	['What', '’s', 'the', 'rush', '?', ':', 'Cuál', 'es', 'el', 'afán', '?', 'Take', 'your', 'time', ',', 'what', '’s', 'the', 'rush', '?']	['lang1', 'lang1', 'lang1', 'lang1', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1228	@_shedopeee para una empresa de Auto Partes llevando deliveries a Talleres y Dealerships:)	['@_shedopeee', 'para', 'una', 'empresa', 'de', 'Auto', 'Partes', 'llevando', 'deliveries', 'a', 'Talleres', 'y', 'Dealerships', ':)']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang1', 'other']	positive
1229	It's some fuegoooo🔥🔥🔥	"['It', ""'s"", 'some', 'fuegoooo', '🔥🔥🔥']"	['lang1', 'lang1', 'lang1', 'lang2', 'other']	positive
1230	When I'm at fiesta & the cashier & my dad are talking about   Chivas & America 😂	"['When', 'I', ""'m"", 'at', 'fiesta', '&', 'the', 'cashier', '&', 'my', 'dad', 'are', 'talking', 'about', 'Chivas', '&', 'America', '😂']"	['lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'other', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'ne', 'other', 'ne', 'other']	positive
1231	Bad ass GoooooooL #Messi#Crack#Thebestintheworld	['Bad', 'ass', 'GoooooooL', '#Messi', '#Crack', '#Thebestintheworld']	['lang1', 'lang1', 'lang2', 'ne', 'lang1', 'lang1']	positive
1232	9-2 Barca to semi-finals it is>>  #CopyDelRey #Catalanes	['9-2', 'Barca', 'to', 'semi-finals', 'it', 'is', '>>', '#CopyDelRey', '#Catalanes']	['other', 'ne', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2']	positive
1233	@Daninthedark En el ejemplo q acabé de pasar usan las dos formas, have a great one! :)	['@Daninthedark', 'En', 'el', 'ejemplo', 'q', 'acabé', 'de', 'pasar', 'usan', 'las', 'dos', 'formas', ',', 'have', 'a', 'great', 'one', '!', ':)']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'other']	positive
1234	@fer_spindola no solo es eso, es tienda de ropa en general, sports outfitter's tienda de ropa deportiva :) solo q no la usamos	"['@fer_spindola', 'no', 'solo', 'es', 'eso', ',', 'es', 'tienda', 'de', 'ropa', 'en', 'general', ',', 'sports', 'outfitter', ""'s"", 'tienda', 'de', 'ropa', 'deportiva', ':)', 'solo', 'q', 'no', 'la', 'usamos']"	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2']	positive
1235	How you not know what's a chuleta??!!!?	"['How', 'you', 'not', 'know', 'what', ""'s"", 'a', 'chuleta', '??!!!?']"	['lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'other']	negative
1236	@Jazzy_steez haha thought you knew lol #lasecreta	['@Jazzy_steez', 'haha', 'thought', 'you', 'knew', 'lol', '#lasecreta']	['other', 'ambiguous', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2']	positive
1237	I didn't know my Cuñada era De Guerrero 😝😝😝👌	"['I', 'did', ""n't"", 'know', 'my', 'Cuñada', 'era', 'De', 'Guerrero', '😝😝😝👌']"	['lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'ne', 'other']	positive
1238	@Milyl15 haha te la creo 😂👌 , son tocan machin Los gueys lol	['@Milyl15', 'haha', 'te', 'la', 'creo', '😂👌', ',', 'son', 'tocan', 'machin', 'Los', 'gueys', 'lol']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1']	positive
1239	@Milyl15 haha o no es cierto ? You could dance all night o que pedo lol	['@Milyl15', 'haha', 'o', 'no', 'es', 'cierto', '?', 'You', 'could', 'dance', 'all', 'night', 'o', 'que', 'pedo', 'lol']	['other', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang1']	positive
1240	Sell yourself short: Algo así como subestimar Never sell yourself short, you’re too intelligent to be the only thing standing in your way.	['Sell', 'yourself', 'short', ':', 'Algo', 'así', 'como', 'subestimar', 'Never', 'sell', 'yourself', 'short', ',', 'you', '’re', 'too', 'intelligent', 'to', 'be', 'the', 'only', 'thing', 'standing', 'in', 'your', 'way', '.']	['lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1241	@dankykaren_ 4tyc got some firme pices for $7 but if you wana be a big ballla goto angies in Chinatown sick ass pices nd bubblers haha	['@dankykaren_', '4tyc', 'got', 'some', 'firme', 'pices', 'for', '$7', 'but', 'if', 'you', 'wana', 'be', 'a', 'big', 'ballla', 'goto', 'angies', 'in', 'Chinatown', 'sick', 'ass', 'pices', 'nd', 'bubblers', 'haha']	['other', 'other', 'lang1', 'lang1', 'lang2', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang1', 'ne', 'lang1', 'ne', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1']	positive
1242	Set loose: Dejar libre: Did you hear how Casey Anthony was set loose after only serving one year in jail?	['Set', 'loose', ':', 'Dejar', 'libre', ':', 'Did', 'you', 'hear', 'how', 'Casey', 'Anthony', 'was', 'set', 'loose', 'after', 'only', 'serving', 'one', 'year', 'in', 'jail', '?']	['lang1', 'lang1', 'other', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'ne', 'ne', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	negative
1243	Pull your leg: Bromear. Are you pulling my leg or are you being serious right now?	['Pull', 'your', 'leg', ':', 'Bromear', '.', 'Are', 'you', 'pulling', 'my', 'leg', 'or', 'are', 'you', 'being', 'serious', 'right', 'now', '?']	['lang1', 'lang1', 'lang1', 'other', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1244	"I remember when we arrived to Mexico I todos en el Rancho enpesaron a chiflar a gritar  Saying   ""Diana Y Yesenia"" Ya Llegaron Uff ☺️☺️❤️❤️👌"	"['I', 'remember', 'when', 'we', 'arrived', 'to', 'Mexico', 'I', 'todos', 'en', 'el', 'Rancho', 'enpesaron', 'a', 'chiflar', 'a', 'gritar', 'Saying', '""', 'Diana', 'Y', 'Yesenia', '""', 'Ya', 'Llegaron', 'Uff', '☺', '️', '☺', '️', '❤', '️', '❤', '️👌']"	['lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'ne', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'ne', 'lang2', 'ne', 'other', 'lang2', 'lang2', 'unk', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'other']	positive
1245	@Yaritzaa__ no me aguito just know same goes to you lmao	['@Yaritzaa__', 'no', 'me', 'aguito', 'just', 'know', 'same', 'goes', 'to', 'you', 'lmao']	['other', 'ambiguous', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1']	negative
1246	I'm so tired! Tengo sueñoooo de a maiz I wanna go to sleep pero blahhh gotta wait for my love to call me pa poder dormir agusto:(	"['I', ""'m"", 'so', 'tired', '!', 'Tengo', 'sueñoooo', 'de', 'a', 'maiz', 'I', 'wanna', 'go', 'to', 'sleep', 'pero', 'blahhh', 'gotta', 'wait', 'for', 'my', 'love', 'to', 'call', 'me', 'pa', 'poder', 'dormir', 'agusto', ':(']"	['lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	negative
1247	Umkelaaaa! tanto pedo pa cagar aguado y no hay story 😠	['Umkelaaaa', '!', 'tanto', 'pedo', 'pa', 'cagar', 'aguado', 'y', 'no', 'hay', 'story', '😠']	['lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other']	negative
1248	Or some shrimp tacos de baja 💣💣🔥	['Or', 'some', 'shrimp', 'tacos', 'de', 'baja', '💣💣🔥']	['lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'other']	positive
1249	@_shedopeee Suele Suceder.. I usually do the same cuando me encelo over my gf :/♥	['@_shedopeee', 'Suele', 'Suceder', '..', 'I', 'usually', 'do', 'the', 'same', 'cuando', 'me', 'encelo', 'over', 'my', 'gf', ':/', '♥']	['other', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'other', 'other']	negative
1250	Cheesy. Si tienen otra palabra por fa la pasan, yo diría Cursi.  Everyone thinks the company slogan I came up with is too cheesy.	['Cheesy', '.', 'Si', 'tienen', 'otra', 'palabra', 'por', 'fa', 'la', 'pasan', ',', 'yo', 'diría', 'Cursi', '.', 'Everyone', 'thinks', 'the', 'company', 'slogan', 'I', 'came', 'up', 'with', 'is', 'too', 'cheesy', '.']	['lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	negative
1251	@58nando ya ves una bes al año on a Thursday since I never go	['@58nando', 'ya', 'ves', 'una', 'bes', 'al', 'año', 'on', 'a', 'Thursday', 'since', 'I', 'never', 'go']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1']	positive
1252	@Monimaravilla19 jaja No Te Creas! We just thought it'd be funny to make ppl think we were getting married ya k todo creen x internet lmfao	"['@Monimaravilla19', 'jaja', 'No', 'Te', 'Creas', '!', 'We', 'just', 'thought', 'it', ""'d"", 'be', 'funny', 'to', 'make', 'ppl', 'think', 'we', 'were', 'getting', 'married', 'ya', 'k', 'todo', 'creen', 'x', 'internet', 'lmfao']"	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'ambiguous', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1']	positive
1253	Antes de ablar tansikiera k digan la verdad,..disen por ay k se dejen de mamadas..lol :D	['Antes', 'de', 'ablar', 'tansikiera', 'k', 'digan', 'la', 'verdad', ',..', 'disen', 'por', 'ay', 'k', 'se', 'dejen', 'de', 'mamadas', '..', 'lol', ':D']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'other']	positive
1254	Take that back: Retractarse. I’m sorry I said you were ugly and stupid, I should probably take that back.	['Take', 'that', 'back', ':', 'Retractarse', '.', 'I', '’m', 'sorry', 'I', 'said', 'you', 'were', 'ugly', 'and', 'stupid', ',', 'I', 'should', 'probably', 'take', 'that', 'back', '.']	['lang1', 'lang1', 'lang1', 'other', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1255	@Yaritzaa__ quien cres😂 , I like when they rap I'm Spanish they get down lol	"['@Yaritzaa__', 'quien', 'cres', '😂', ',', 'I', 'like', 'when', 'they', 'rap', 'I', ""'m"", 'Spanish', 'they', 'get', 'down', 'lol']"	['other', 'lang2', 'lang2', 'other', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang1', 'lang1', 'lang1', 'lang1']	positive
1256	Book: Reservar Hi, I need to book an appointment with Dr. Kelly.	['Book', ':', 'Reservar', 'Hi', ',', 'I', 'need', 'to', 'book', 'an', 'appointment', 'with', 'Dr.', 'Kelly', '.']	['lang1', 'other', 'lang2', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'ne', 'ne', 'other']	neutral
1257	Signal loss ahh culooos ✊✊	['Signal', 'loss', 'ahh', 'culooos', '✊✊']	['lang1', 'lang1', 'lang2', 'lang2', 'other']	negative
1258	Hoy tenemos frases útiles para pedir direcciones: Do you know which road would take me to Houston faster?	['Hoy', 'tenemos', 'frases', 'útiles', 'para', 'pedir', 'direcciones', ':', 'Do', 'you', 'know', 'which', 'road', 'would', 'take', 'me', 'to', 'Houston', 'faster', '?']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'ne', 'lang1', 'other']	positive
1259	@Milyl15 no pues casi todas lmao , watch the news lol that always puts me rite to sleep xD	['@Milyl15', 'no', 'pues', 'casi', 'todas', 'lmao', ',', 'watch', 'the', 'news', 'lol', 'that', 'always', 'puts', 'me', 'rite', 'to', 'sleep', 'xD']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1260	Grasp: Comprender. I wasn’t able to grasp what she was talking about.	['Grasp', ':', 'Comprender', '.', 'I', 'was', 'n’t', 'able', 'to', 'grasp', 'what', 'she', 'was', 'talking', 'about', '.']	['lang1', 'other', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1261	Ya Se va a la party 😭	['Ya', 'Se', 'va', 'a', 'la', 'party', '😭']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other']	positive
1262	Ya Mero me va Venir dejando Mi mom cx	['Ya', 'Mero', 'me', 'va', 'Venir', 'dejando', 'Mi', 'mom', 'cx']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other']	negative
1263	I’m out of: Se me acabó. I need to go grocery shopping, I’m out of milk.	['I', '’m', 'out', 'of', ':', 'Se', 'me', 'acabó', '.', 'I', 'need', 'to', 'go', 'grocery', 'shopping', ',', 'I', '’m', 'out', 'of', 'milk', '.']	['lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other']	positive
1264	Justin said he was coming to my house   Pos que Pedo oh que where is he ? Tampoco no Lo Kiero Aki a las 12 /.-	['Justin', 'said', 'he', 'was', 'coming', 'to', 'my', 'house', 'Pos', 'que', 'Pedo', 'oh', 'que', 'where', 'is', 'he', '?', 'Tampoco', 'no', 'Lo', 'Kiero', 'Aki', 'a', 'las', '12', '/', '.', '-']	['ne', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'other', 'other', 'other', 'other']	negative
1265	Fuck we didn't go to church I yo que Keria ir para Pedir Perdon Por Averme Salido Por la ventana last night 😂😂😭	"['Fuck', 'we', 'did', ""n't"", 'go', 'to', 'church', 'I', 'yo', 'que', 'Keria', 'ir', 'para', 'Pedir', 'Perdon', 'Por', 'Averme', 'Salido', 'Por', 'la', 'ventana', 'last', 'night', '😂😂😭']"	['lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'other']	negative
1266	@elizaaaabethhh_ Sure! Ay Nomas Me Das $$$ Pa El Pasaje & We Good;) Well after my gf's graduation pa en Junio Vamos! & En Mi Truck!^.^ Yes♥	"['@elizaaaabethhh_', 'Sure', '!', 'Ay', 'Nomas', 'Me', 'Das', '$$$', 'Pa', 'El', 'Pasaje', '&', 'We', 'Good', ';)', 'Well', 'after', 'my', 'gf', ""'s"", 'graduation', 'pa', 'en', 'Junio', 'Vamos', '!', '&', 'En', 'Mi', 'Truck', '!', '^.^', 'Yes', '♥']"	['other', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'ne', 'other', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang2', 'lang1', 'other', 'other', 'lang1', 'other']	positive
1267	Tu Agaras Las Botas 👢👢  Yo Los Tacones 👠👠  I Nos Vamos De Partii (; 🍻👌	['Tu', 'Agaras', 'Las', 'Botas', '👢👢', 'Yo', 'Los', 'Tacones', '👠👠', 'I', 'Nos', 'Vamos', 'De', 'Partii', '(;', '🍻👌']	['lang2', 'lang2', 'lang2', 'ne', 'other', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'other']	positive
